0,5,3.5,1.3,0.3
0,4.5,2.3,1.3,0.3
0,4.4,3.2,1.3,0.2
0,5,3.5,1.6,0.6
0,5.1,3.8,1.9,0.4
0,4.8,3,1.4,0.3
0,5.1,3.8,1.6,0.2
0,4.6,3.2,1.4,0.2
0,5.3,3.7,1.5,0.2
0,5,3.3,1.4,0.2
1,7,3.2,4.7,1.4
1,6.4,3.2,4.5,1.5
1,6.9,3.1,4.9,1.5
1,5.5,2.3,4,1.3
1,6.5,2.8,4.6,1.5
1,5.7,2.8,4.5,1.3
1,6.3,3.3,4.7,1.6
1,4.9,2.4,3.3,1
1,6.6,2.9,4.6,1.3
1,5.2,2.7,3.9,1.4
2,6.7,3.1,5.6,2.4
2,6.9,3.1,5.1,2.3
2,5.8,2.7,5.1,1.9
2,6.8,3.2,5.9,2.3
2,6.7,3.3,5.7,2.5
2,6.7,3,5.2,2.3
2,6.3,2.5,5,1.9
2,6.5,3,5.2,2
2,6.2,3.4,5.4,2.3
2,5.9,3,5.1,1.8